iter	Passed	Remaining
881	25307	3385
882	25341	3357
883	25365	3328
884	25399	3300
885	25431	3272
886	25464	3244
887	25487	3214
888	25523	3186
889	25553	3158
890	25577	3128
891	25596	3099
892	25620	3069
893	25656	3041
894	25691	3014
895	25721	2985
896	25741	2955
897	25764	2926
898	25789	2897
899	25812	2868
900	25842	2839
901	25864	2810
902	25896	2781
903	25917	2752
904	25937	2722
905	25964	2693
906	25996	2665
907	26019	2636
908	26043	2607
909	26078	2579
910	26098	2549
911	26123	2520
912	26147	2491
913	26167	2462
914	26203	2434
915	26228	2405
916	26254	2376
917	26274	2346
918	26309	2318
919	26333	2289
920	26367	2261
921	26392	2232
922	26425	2204
923	26445	2175
924	26472	2146
925	26506	2118
926	26528	2089
927	26560	2060
928	26588	2032
929	26625	2004
930	26655	1975
931	26678	1946
932	26713	1918
933	26736	1889
934	26761	1860
935	26784	1831
936	26818	1803
937	26850	1774
938	26875	1745
939	26898	1716
940	26932	1688
941	26964	1660
942	26996	1631
943	27019	1602
944	27047	1574
945	27074	1545
946	27104	1516
947	27128	1488
948	27163	1459
949	27197	1431
950	27232	1403
951	27261	1374
952	27294	1346
953	27328	1317
954	27360	1289
955	27390	1260
956	27423	1232
957	27446	1203
958	27475	1174
959	27508	1146
960	27530	1117
961	27563	1088
962	27588	1059
963	27624	1031
964	27647	1002
965	27670	973
966	27694	945
967	27721	916
968	27754	887
969	27787	859
970	27819	830
971	27853	802
972	27876	773
973	27898	744
974	27919	715
975	27949	687
976	27972	658
977	27993	629
978	28018	601
979	28040	572
980	28072	543
981	28094	514
982	28115	486
983	28146	457
984	28181	429
985	28200	400
986	28222	371
987	28256	343
988	28280	314
989	28313	285
990	28348	257
991	28374	228
992	28400	200
993	28424	171
994	28452	142
995	28477	114
996	28498	85
997	28533	57
998	28555	28
999	28588	0
